case_no,checking_account,credit_history,purpose,credit_amount,savings,employment_duration,gender_status,age,job,risk
73,,critical/other existing credit,other,1164,<100,>=7,male single,51,high qualify/self emp/mgm,good
74,,critical/other existing credit,business,5954,<100,4<=X<7,female div/dep/mar,41,unskilled resident,good
75,,existing paid,education,1977,no known savings,>=7,male single,40,high qualify/self emp/mgm,bad
76,,critical/other existing credit,used car,1526,<100,>=7,male single,66,high qualify/self emp/mgm,good
77,,existing paid,radio/tv,3965,<100,<1,male single,34,skilled,bad
78,,delayed previously,radio/tv,4771,<100,4<=X<7,male single,51,skilled,good
79,,no credits/all paid,used car,9436,no known savings,1<=X<4,male single,39,unskilled resident,good
80,,existing paid,furniture/equipment,3832,<100,<1,male mar/wid,22,skilled,good
81,,existing paid,radio/tv,5943,no known savings,<1,female div/dep/mar,44,skilled,bad
82,,existing paid,radio/tv,1213,500<=X<1000,>=7,male single,47,skilled,good
83,,existing paid,business,1568,100<=X<500,1<=X<4,female div/dep/mar,24,unskilled resident,good
84,,existing paid,other,1755,<100,>=7,female div/dep/mar,58,unskilled resident,good
85,,existing paid,radio/tv,2315,<100,>=7,male single,52,unskilled resident,good
86,,critical/other existing credit,business,1412,<100,1<=X<4,female div/dep/mar,29,high qualify/self emp/mgm,good
87,,critical/other existing credit,furniture/equipment,1295,<100,<1,female div/dep/mar,27,skilled,good
88,,existing paid,education,12612,100<=X<500,1<=X<4,male single,47,skilled,bad
89,,existing paid,new car,2249,100<=X<500,4<=X<7,male single,30,high qualify/self emp/mgm,good
90,,no credits/all paid,repairs,1108,<100,4<=X<7,male single,28,skilled,bad
91,,critical/other existing credit,radio/tv,618,<100,>=7,male single,56,skilled,good
92,,critical/other existing credit,used car,1409,<100,>=7,male single,54,skilled,good
93,,critical/other existing credit,radio/tv,797,no known savings,>=7,female div/dep/mar,33,unskilled resident,bad
94,High,critical/other existing credit,furniture/equipment,3617,no known savings,>=7,male single,20,skilled,good
95,,existing paid,new car,1318,>=1000,>=7,male single,54,skilled,good
96,,no credits/all paid,business,15945,<100,<1,male single,58,skilled,bad
97,,critical/other existing credit,education,2012,no known savings,4<=X<7,female div/dep/mar,61,skilled,good
98,,existing paid,business,2622,100<=X<500,1<=X<4,male single,34,skilled,good
99,,critical/other existing credit,radio/tv,2337,<100,>=7,male single,36,skilled,good
100,,delayed previously,used car,7057,no known savings,4<=X<7,male single,36,high qualify/self emp/mgm,good
101,,existing paid,new car,1469,100<=X<500,>=7,male mar/wid,41,unskilled resident,good
102,,existing paid,radio/tv,2323,<100,4<=X<7,male single,24,skilled,good
103,,delayed previously,radio/tv,932,<100,1<=X<4,female div/dep/mar,24,skilled,good
104,,critical/other existing credit,furniture/equipment,1919,<100,4<=X<7,male single,35,skilled,good
105,,existing paid,used car,2445,no known savings,<1,male mar/wid,26,skilled,good
106,,critical/other existing credit,other,11938,<100,1<=X<4,male single,39,high qualify/self emp/mgm,bad
107,,all paid,new car,6458,<100,>=7,male single,39,high qualify/self emp/mgm,bad
108,,existing paid,new car,6078,<100,4<=X<7,male single,32,skilled,good
109,,existing paid,furniture/equipment,7721,no known savings,<1,female div/dep/mar,30,skilled,good
110,,existing paid,business,1410,500<=X<1000,>=7,male mar/wid,35,skilled,good
111,,delayed previously,business,1449,100<=X<500,>=7,male div/sep,31,skilled,good
112,High,existing paid,education,392,<100,<1,female div/dep/mar,23,skilled,good
113,,existing paid,new car,6260,<100,4<=X<7,male single,28,unskilled resident,good
114,,critical/other existing credit,new car,7855,<100,1<=X<4,female div/dep/mar,25,skilled,bad
115,,existing paid,radio/tv,1680,500<=X<1000,>=7,male mar/wid,35,skilled,good
116,,critical/other existing credit,radio/tv,3578,no known savings,>=7,male single,47,skilled,good
117,,existing paid,radio/tv,7174,no known savings,4<=X<7,female div/dep/mar,30,high qualify/self emp/mgm,bad
118,,critical/other existing credit,furniture/equipment,2132,no known savings,<1,female div/dep/mar,27,skilled,good
119,,critical/other existing credit,furniture/equipment,4281,500<=X<1000,1<=X<4,female div/dep/mar,23,skilled,bad
120,,critical/other existing credit,new car,2366,500<=X<1000,4<=X<7,male div/sep,36,high qualify/self emp/mgm,good
121,,existing paid,radio/tv,1835,<100,1<=X<4,female div/dep/mar,25,skilled,bad
122,,critical/other existing credit,used car,3868,<100,>=7,female div/dep/mar,41,high qualify/self emp/mgm,good
123,,existing paid,furniture/equipment,1768,<100,1<=X<4,male single,24,unskilled resident,good
124,High,critical/other existing credit,new car,781,<100,>=7,male single,63,skilled,good
125,,existing paid,furniture/equipment,1924,no known savings,<1,female div/dep/mar,27,skilled,bad
126,,critical/other existing credit,new car,2121,<100,1<=X<4,male single,30,skilled,good
127,,existing paid,radio/tv,701,<100,1<=X<4,male mar/wid,40,unskilled resident,good
128,,existing paid,repairs,639,<100,1<=X<4,male single,30,skilled,bad
129,,critical/other existing credit,used car,1860,<100,unemployed,male single,34,high qualify/self emp/mgm,good
130,,critical/other existing credit,new car,3499,<100,1<=X<4,female div/dep/mar,29,skilled,bad
131,,existing paid,new car,8487,no known savings,4<=X<7,female div/dep/mar,24,skilled,good
132,,delayed previously,education,6887,<100,1<=X<4,male single,29,skilled,bad
133,,existing paid,furniture/equipment,2708,<100,<1,male single,27,unskilled resident,good
134,,existing paid,furniture/equipment,1984,<100,1<=X<4,male single,47,skilled,good
135,,existing paid,radio/tv,10144,100<=X<500,4<=X<7,female div/dep/mar,21,skilled,good
136,,critical/other existing credit,radio/tv,1240,no known savings,>=7,female div/dep/mar,38,skilled,good
137,,delayed previously,used car,8613,>=1000,1<=X<4,male single,27,skilled,good
138,,existing paid,radio/tv,766,500<=X<1000,1<=X<4,male single,66,unskilled resident,bad
139,,critical/other existing credit,radio/tv,2728,no known savings,4<=X<7,male single,35,skilled,good
140,High,existing paid,radio/tv,1881,<100,1<=X<4,female div/dep/mar,44,unskilled resident,good
141,High,existing paid,new car,709,>=1000,<1,male mar/wid,27,enemy/unskilled non res,good
142,,existing paid,radio/tv,4795,<100,<1,female div/dep/mar,30,high qualify/self emp/mgm,good
143,,existing paid,radio/tv,3416,<100,1<=X<4,male single,27,high qualify/self emp/mgm,good
144,,existing paid,furniture/equipment,2462,<100,1<=X<4,male single,222,skilled,0
145,,critical/other existing credit,furniture/equipment,2288,<100,<1,female div/dep/mar,2.3,skilled,good
146,,all paid,business,3566,100<=X<500,4<=X<7,male single,30,skilled,good
147,,critical/other existing credit,new car,860,<100,>=7,female div/dep/mar,39,skilled,good
148,,critical/other existing credit,new car,682,100<=X<500,4<=X<7,female div/dep/mar,51,skilled,good
149,,critical/other existing credit,furniture/equipment,5371,<100,1<=X<4,male single,28,skilled,good
150,,critical/other existing credit,radio/tv,1582,>=1000,>=7,male single,46,skilled,good
151,,existing paid,radio/tv,1346,100<=X<500,>=7,male single,42,skilled,good
152,,existing paid,radio/tv,1924,<100,1<=X<4,male single,38,skilled,good
153,High,existing paid,radio/tv,5848,<100,1<=X<4,male single,24,skilled,good
154,,critical/other existing credit,used car,7758,>=1000,>=7,female div/dep/mar,29,skilled,good
155,,delayed previously,business,6967,100<=X<500,4<=X<7,male single,36,high qualify/self emp/mgm,good
156,,existing paid,furniture/equip,1282,<100,1<=X<4,female div/dep/mar,20,skilled,bad
157,,critical/other existing credit,repairs,1288,100<=X<500,>=7,male single,48,skilled,good
158,,all paid,retaining,339,<100,>=7,male mar/wid,45,unskilled resident,good
159,,existing paid,new car,3512,100<=X<500,4<=X<7,male single,38,skilled,good
160,,critical/other existing credit,radio/tv,1898,no known savings,1<=X<4,male single,34,unskilled resident,good
161,,critical/other existing credit,radio/tv,2872,100<=X<500,>=7,male single,36,skilled,good
162,,critical/other existing credit,new car,1055,<100,<1,female div/dep/mar,30,skilled,good
163,,existing paid,domestic appliance,1262,500<=X<1000,4<=X<7,male single,36,skilled,good
164,,existing paid,new car,7308,<100,unemployed,male single,70,high qualify/self emp/mgm,good
165,,existing paid,new car,909,500<=X<1000,>=7,male single,36,skilled,good
166,,existing paid,furniture/equipment,2978,500<=X<1000,1<=X<4,male single,32,skilled,good
167,,existing paid,furniture/equipment,1131,<100,unemployed,female div/dep/mar,33,skilled,bad
168,,existing paid,furniture/equip,1577,>=1000,<1,female div/dep/mar,20,skilled,good
169,,existing paid,furniture/equipment,3972,<100,4<=X<7,female div/dep/mar,25,skilled,good
170,,critical/other existing credit,business,1935,<100,>=7,male div/sep,31,skilled,bad
171,,no credits/all paid,new car,950,<100,>=7,male single,33,skilled,bad
172,,existing paid,furniture/equipment,763,<100,1<=X<4,female div/dep/mar,26,skilled,good
173,,delayed previously,furniture/equipment,2064,<100,unemployed,female div/dep/mar,34,high qualify/self emp/mgm,bad
174,,existing paid,radio/tv,1414,<100,1<=X<4,male single,33,skilled,good
175,,delayed previously,education,3414,<100,<1,male single,26,skilled,bad
176,,all paid,used car,7485,no known savings,unemployed,female div/dep/mar,53,high qualify/self emp/mgm,bad
177,,existing paid,furniture/equipment,2577,<100,1<=X<4,male div/sep,42,skilled,good
178,,critical/other existing credit,radio/tv,338,500<=X<1000,>=7,male single,52,skilled,good
179,,existing paid,radio/tv,1963,<100,4<=X<7,male single,31,high qualify/self emp/mgm,good
180,,critical/other existing credit,new car,571,<100,>=7,male single,65,skilled,good
181,,delayed previously,business,9572,<100,<1,male div/sep,28,skilled,bad
182,,delayed previously,business,4455,<100,1<=X<4,male div/sep,30,high qualify/self emp/mgm,bad
183,,all paid,new car,1647,no known savings,1<=X<4,male single,40,unskilled resident,bad
184,,critical/other existing credit,furniture/equip,3777,>=1000,1<=X<4,male single,50,skilled,good
185,,critical/other existing credit,new car,884,<100,>=7,male single,36,skilled,bad
186,,critical/other existing credit,radio/tv,1360,<100,1<=X<4,male single,31,skilled,good
187,,all paid,used car,5129,<100,>=7,female div/dep/mar,74,high qualify/self emp/mgm,bad
188,,critical/other existing credit,new car,1175,<100,unemployed,male single,68,enemy/unskilled non res,good
189,,existing paid,radio/tv,674,100<=X<500,4<=X<7,male mar/wid,20,skilled,bad
190,,no credits/all paid,furniture/equipment,3244,<100,1<=X<4,female div/dep/mar,33,skilled,good
191,,existing paid,business,4591,>=1000,1<=X<4,male single,54,high qualify/self emp/mgm,bad
192,,no credits/all paid,business,3844,100<=X<500,4<=X<7,male single,34,unskilled resident,bad
193,,existing paid,business,3915,<100,1<=X<4,male single,36,skilled,bad
194,,existing paid,radio/tv,2108,<100,4<=X<7,male mar/wid,29,skilled,good
195,,existing paid,radio/tv,3031,100<=X<500,1<=X<4,male single,21,skilled,bad
196,,critical/other existing credit,education,1501,<100,>=7,female div/dep/mar,34,high qualify/self emp/mgm,bad
197,,critical/other existing credit,radio/tv,1382,<100,1<=X<4,female div/dep/mar,28,skilled,good
198,,existing paid,furniture/equipment,951,100<=X<500,<1,female div/dep/mar,27,skilled,bad
199,,existing paid,used car,2760,no known savings,>=7,male single,36,skilled,good
200,,delayed previously,furniture/equipment,4297,<100,>=7,male div/sep,40,high qualify/self emp/mgm,bad
201,,critical/other existing credit,education,936,500<=X<1000,>=7,male single,52,skilled,good
202,,existing paid,new car,1168,<100,1<=X<4,male mar/wid,27,unskilled resident,good
203,,delayed previously,business,5117,<100,4<=X<7,male single,26,skilled,good
204,,existing paid,retaining,902,<100,4<=X<7,male mar/wid,21,skilled,bad
205,,critical/other existing credit,new car,1495,<100,>=7,male single,38,unskilled resident,good
206,,critical/other existing credit,used car,10623,<100,>=7,male single,38,high qualify/self emp/mgm,good
207,,critical/other existing credit,furniture/equipment,1935,<100,>=7,male single,43,skilled,good
208,,critical/other existing credit,domestic appliance,1424,<100,4<=X<7,male single,26,skilled,good
209,,existing paid,business,6568,<100,1<=X<4,male mar/wid,21,unskilled resident,good
210,,existing paid,used car,1413,>=1000,4<=X<7,male single,55,skilled,good
211,,critical/other existing credit,radio/tv,3074,no known savings,1<=X<4,male single,33,skilled,good
212,,existing paid,radio/tv,3835,no known savings,>=7,female div/dep/mar,45,unskilled resident,good
213,,no credits/all paid,business,5293,<100,unemployed,male single,50,skilled,bad
214,High,delayed previously,business,1908,<100,>=7,male single,66,high qualify/self emp/mgm,bad
215,,critical/other existing credit,radio/tv,3342,no known savings,>=7,male single,51,skilled,good
216,,critical/other existing credit,retaining,932,no known savings,4<=X<7,female div/dep/mar,39,unskilled resident,good
217,,no credits/all paid,business,3104,<100,4<=X<7,male single,31,skilled,good
218,High,existing paid,radio/tv,3913,<100,1<=X<4,male single,23,skilled,good
219,,existing paid,furniture/equipment,3021,<100,1<=X<4,male div/sep,24,unskilled resident,good
220,,existing paid,new car,1364,<100,1<=X<4,female div/dep/mar,64,skilled,good
221,,existing paid,radio/tv,625,<100,<1,male mar/wid,26,unskilled resident,good
222,,existing paid,education,1200,no known savings,1<=X<4,female div/dep/mar,23,skilled,good
223,,existing paid,radio/tv,707,<100,1<=X<4,male single,30,skilled,good
224,,delayed previously,business,2978,no known savings,1<=X<4,male single,32,skilled,good
225,,existing paid,used car,4657,<100,1<=X<4,male single,30,skilled,good
226,,no credits/all paid,repairs,2613,<100,1<=X<4,male single,27,skilled,good
227,,existing paid,radio/tv,10961,>=1000,4<=X<7,male single,27,skilled,bad
228,,existing paid,furniture/equipment,7865,<100,>=7,male single,53,high qualify/self emp/mgm,bad
229,,existing paid,radio/tv,1478,<100,4<=X<7,male single,22,skilled,bad
230,,existing paid,furniture/equipment,3149,<100,<1,male single,22,skilled,good
231,High,existing paid,radio/tv,4210,<100,1<=X<4,male single,26,skilled,bad
232,,existing paid,new car,2507,500<=X<1000,>=7,male single,51,unskilled resident,good
233,,existing paid,radio/tv,2141,100<=X<500,4<=X<7,male single,35,skilled,good
234,,existing paid,radio/tv,866,<100,1<=X<4,male mar/wid,25,unskilled resident,good
235,,critical/other existing credit,radio/tv,1544,<100,4<=X<7,male single,42,unskilled resident,good
236,,existing paid,radio/tv,1823,<100,unemployed,male single,30,high qualify/self emp/mgm,bad
237,,existing paid,new car,14555,no known savings,unemployed,male single,23,enemy/unskilled non res,bad
238,,existing paid,business,2767,100<=X<500,>=7,male div/sep,61,unskilled resident,bad
239,,critical/other existing credit,radio/tv,1291,<100,1<=X<4,female div/dep/mar,35,skilled,good
240,,existing paid,radio/tv,2522,<100,>=7,male single,39,skilled,good
241,,existing paid,new car,915,no known savings,>=7,female div/dep/mar,29,skilled,bad
242,,existing paid,radio/tv,1595,<100,4<=X<7,male single,51,skilled,good
243,,no credits/all paid,used car,4605,<100,>=7,male single,24,skilled,0
244,,critical/other existing credit,business,1185,<100,1<=X<4,female div/dep/mar,27,skilled,good
245,,all paid,retaining,3447,500<=X<1000,1<=X<4,female div/dep/mar,35,unskilled resident,good
246,,existing paid,business,1258,<100,4<=X<7,male single,25,skilled,good
247,,critical/other existing credit,radio/tv,717,<100,>=7,male single,52,skilled,good
248,,no credits/all paid,new car,1204,100<=X<500,1<=X<4,male single,35,skilled,good
249,High,existing paid,furniture/equipment,1925,<100,1<=X<4,male single,26,skilled,good
250,,existing paid,radio/tv,433,<100,unemployed,female div/dep/mar,22,skilled,bad
251,,critical/other existing credit,new car,666,>=1000,4<=X<7,female div/dep/mar,39,unskilled resident,good
252,High,existing paid,furniture/equipment,2251,<100,1<=X<4,female div/dep/mar,46,unskilled resident,good
253,,existing paid,new car,2150,<100,1<=X<4,female div/dep/mar,24,skilled,bad
254,,delayed previously,furniture/equipment,4151,100<=X<500,1<=X<4,male single,35,skilled,good
255,,existing paid,furniture/equipment,2030,no known savings,4<=X<7,male single,24,skilled,good
256,,delayed previously,radio/tv,7418,no known savings,1<=X<4,male single,27,unskilled resident,good
257,,critical/other existing credit,radio/tv,2684,<100,1<=X<4,male single,35,unskilled resident,good
258,,all paid,radio/tv,2149,<100,1<=X<4,male div/sep,29,skilled,bad
259,,existing paid,used car,3812,100<=X<500,<1,female div/dep/mar,23,skilled,good
260,,critical/other existing credit,radio/tv,1154,100<=X<500,unemployed,female div/dep/mar,57,unskilled resident,good
261,,existing paid,furniture/equipment,1657,<100,1<=X<4,male single,27,skilled,good
262,,existing paid,radio/tv,1603,<100,>=7,female div/dep/mar,55,skilled,good
263,,critical/other existing credit,new car,5302,<100,>=7,male single,36,high qualify/self emp/mgm,good
264,,critical/other existing credit,education,2748,<100,>=7,female div/dep/mar,57,unskilled resident,good
265,,critical/other existing credit,new car,1231,<100,>=7,male single,32,unskilled resident,good
266,,existing paid,radio/tv,802,<100,>=7,male single,37,skilled,bad
267,,critical/other existing credit,business,6304,no known savings,>=7,male single,36,skilled,good
268,,existing paid,radio/tv,1533,<100,<1,female div/dep/mar,38,skilled,good
269,,existing paid,new car,8978,<100,>=7,male div/sep,45,high qualify/self emp/mgm,bad
270,,existing paid,radio/tv,999,no known savings,>=7,male single,25,skilled,good
271,,existing paid,new car,2662,no known savings,4<=X<7,male single,32,skilled,good
272,,critical/other existing credit,furniture/equipment,1402,500<=X<1000,4<=X<7,female div/dep/mar,37,skilled,good
273,,all paid,new car,12169,no known savings,unemployed,male single,36,high qualify/self emp/mgm,good
274,,existing paid,radio/tv,3060,<100,4<=X<7,male single,28,skilled,bad
275,,existing paid,repairs,11998,<100,<1,male div/sep,34,unskilled resident,bad
276,,existing paid,radio/tv,2697,<100,1<=X<4,male single,32,skilled,good
277,,critical/other existing credit,radio/tv,2404,<100,1<=X<4,female div/dep/mar,26,skilled,good
278,,existing paid,furniture/equipment,1262,no known savings,>=7,male div/sep,49,unskilled resident,good
279,,existing paid,furniture/equipment,4611,<100,<1,female div/dep/mar,32,skilled,bad
280,,existing paid,radio/tv,1901,100<=X<500,1<=X<4,male single,29,high qualify/self emp/mgm,good
281,,critical/other existing credit,used car,3368,>=1000,>=7,male single,23,skilled,good
282,,existing paid,furniture/equipment,1574,<100,1<=X<4,male single,50,skilled,good
283,High,all paid,radio/tv,1445,no known savings,4<=X<7,male single,49,unskilled resident,good
284,,critical/other existing credit,furniture/equipment,1520,no known savings,>=7,male single,63,skilled,good
285,,critical/other existing credit,new car,3878,100<=X<500,<1,male div/sep,37,skilled,good
286,,existing paid,new car,10722,<100,<1,female div/dep/mar,35,unskilled resident,good
287,,existing paid,used car,4788,<100,4<=X<7,male single,26,skilled,good
288,,delayed previously,other,7582,100<=X<500,unemployed,male single,31,high qualify/self emp/mgm,good
289,,existing paid,radio/tv,1092,<100,1<=X<4,female div/dep/mar,49,skilled,good
290,,delayed previously,radio/tv,1024,<100,<1,male mar/wid,48,skilled,bad
291,,existing paid,business,1076,<100,1<=X<4,male mar/wid,26,skilled,good
292,,existing paid,used car,9398,<100,<1,male mar/wid,28,high qualify/self emp/mgm,bad
293,,critical/other existing credit,used car,6419,<100,>=7,female div/dep/mar,44,high qualify/self emp/mgm,good
294,High,critical/other existing credit,used car,4796,<100,>=7,male single,56,skilled,good
295,,critical/other existing credit,business,7629,no known savings,>=7,male div/sep,46,high qualify/self emp/mgm,good
296,,existing paid,furniture/equipment,9960,<100,<1,female div/dep/mar,26,skilled,bad
297,,existing paid,used car,4675,no known savings,<1,female div/dep/mar,20,skilled,good
298,,existing paid,new car,1287,no known savings,>=7,male single,45,unskilled resident,good
299,,existing paid,furniture/equipment,2515,<100,1<=X<4,male single,43,skilled,good
300,,critical/other existing credit,furniture/equipment,2745,>=1000,4<=X<7,male single,32,skilled,good
301,,existing paid,new car,672,<100,unemployed,female div/dep/mar,54,enemy/unskilled non res,good
302,,no credits/all paid,radio/tv,3804,<100,1<=X<4,female div/dep/mar,42,skilled,bad
303,High,critical/other existing credit,new car,1344,no known savings,4<=X<7,male single,37,unskilled resident,bad
304,,critical/other existing credit,new car,1038,<100,4<=X<7,male single,49,skilled,good
305,,critical/other existing credit,new car,10127,500<=X<1000,1<=X<4,male single,44,skilled,bad
306,,existing paid,furniture/equipment,1543,>=1000,1<=X<4,male div/sep,33,skilled,good
307,,existing paid,used car,4811,no known savings,4<=X<7,female div/dep/mar,24,unskilled resident,good
308,,existing paid,radio/tv,727,100<=X<500,<1,male mar/wid,33,unskilled resident,bad
309,,existing paid,furniture/equipment,1237,<100,1<=X<4,female div/dep/mar,24,skilled,bad
310,,existing paid,new car,276,<100,1<=X<4,male mar/wid,22,unskilled resident,good
311,,existing paid,other,5381,no known savings,unemployed,male single,40,enemy/unskilled non res,good
312,,existing paid,furniture/equipment,5511,100<=X<500,1<=X<4,male single,25,skilled,good
313,High,existing paid,furniture/equipment,3749,<100,<1,female div/dep/mar,26,skilled,good
314,,existing paid,new car,685,<100,4<=X<7,male mar/wid,25,unskilled resident,bad
315,High,existing paid,new car,1494,no known savings,<1,male single,29,unskilled resident,good
316,,all paid,furniture/equipment,2746,<100,>=7,male single,31,skilled,bad
317,,existing paid,furniture/equipment,708,<100,1<=X<4,male single,38,unskilled resident,good
318,,existing paid,furniture/equipment,4351,no known savings,1<=X<4,female div/dep/mar,48,unskilled resident,good
319,,critical/other existing credit,education,701,<100,1<=X<4,male single,32,skilled,good
320,,delayed previously,furniture/equipment,3643,<100,>=7,female div/dep/mar,27,unskilled resident,good
321,,critical/other existing credit,new car,4249,<100,unemployed,male mar/wid,28,high qualify/self emp/mgm,bad
322,,existing paid,radio/tv,1938,<100,<1,male div/sep,32,skilled,bad
323,,existing paid,used car,2910,<100,4<=X<7,male single,34,high qualify/self emp/mgm,good
324,,existing paid,furniture/equipment,2659,>=1000,1<=X<4,male single,28,skilled,good
325,,critical/other existing credit,new car,1028,<100,1<=X<4,female div/dep/mar,36,skilled,good
326,,critical/other existing credit,new car,3398,<100,4<=X<7,male single,39,unskilled resident,good
327,,critical/other existing credit,furniture/equipment,5801,no known savings,>=7,male single,49,skilled,good
328,,existing paid,new car,1525,>=1000,4<=X<7,female div/dep/mar,34,skilled,good
